2023-09-27 10:26:20 error: [GET] /api/fetch-message/650fb5155f30100ca6fd3c85 >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 10:26:21 error: [GET] /api/fetch-message/6512f72b55acc9aba27a1b80 >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 10:26:22 error: [GET] /api/fetch-message/650fb5155f30100ca6fd3c85 >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 10:26:22 error: [GET] /api/fetch-message/6512f67e55acc9aba27a1b53 >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 11:17:59 error: [GET] /api/fetch-chat >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 11:17:59 error: [GET] /api/fetch-chat >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 11:32:21 error: [GET] /api/fetch-chat >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 11:32:21 error: [GET] /api/fetch-chat >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 12:21:37 error: [GET] /api/fetch-chat >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 12:21:37 error: [GET] /api/fetch-chat >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 12:22:30 error: [GET] /api/fetch-chat >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 12:22:30 error: [GET] /api/fetch-chat >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 12:58:09 error: [GET] /api/fetch-message/6512f72b55acc9aba27a1b80 >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 12:58:10 error: [GET] /api/fetch-message/6512f67e55acc9aba27a1b53 >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 13:06:44 error: [GET] /api/fetch-message/6512f67e55acc9aba27a1b53 >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 13:06:51 error: [GET] /api/fetch-message/6512f67e55acc9aba27a1b53 >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 13:06:58 error: [GET] /api/fetch-message/6512f67e55acc9aba27a1b53 >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 13:07:01 error: [GET] /api/fetch-message/6512f67e55acc9aba27a1b53 >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 13:07:03 error: [GET] /api/fetch-message/6512f67e55acc9aba27a1b53 >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 13:07:19 error: [GET] /api/fetch-message/6512f67e55acc9aba27a1b53 >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 13:07:27 error: [GET] /api/fetch-message/6512f67e55acc9aba27a1b53 >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 13:07:34 error: [GET] /api/fetch-message/6512f67e55acc9aba27a1b53 >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 13:08:46 error: [GET] /api/fetch-message/6512f67e55acc9aba27a1b53 >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 13:08:48 error: [GET] /api/fetch-message/6512f67e55acc9aba27a1b53 >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 13:09:00 error: [GET] /api/fetch-message/6512f67e55acc9aba27a1b53 >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 13:10:53 error: [GET] /api/fetch-chat >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 13:10:53 error: [GET] /api/fetch-chat >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 13:20:23 error: [GET] /favicon.ico >> StatusCode:: 404, Message: Route not found
2023-09-27 14:15:47 error: [POST] /api/send-message >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 14:20:17 error: [GET] /api/fetch-chat >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 14:20:17 error: [GET] /api/fetch-chat >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 14:20:17 error: [GET] /api/fetch-chat >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 14:20:17 error: [GET] /api/fetch-chat >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 14:23:10 error: [GET] /api/fetch-chat >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 14:23:10 error: [GET] /api/fetch-chat >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 14:23:10 error: [GET] /api/fetch-chat >> StatusCode:: 401, Message:: Wrong authentication token
2023-09-27 14:23:10 error: [GET] /api/fetch-chat >> StatusCode:: 401, Message:: Wrong authentication token
